FMCG,Quarter,Net Profit/(Loss) For the Period,Total Income From Operations,P/L Before Tax,Net Sales/Income from operations,Equity Share Capital,Non Current Asset,Current Asset,Total Asset,"P/L Before Int., Excpt. Items & Tax",Fixed Assets,Total Current Assets,Total Current Liabilities,Interest,EPS,NASDAQ INDEX,NSE FMCG Index,Crude Oil in USD,RBI Repo Rate
BRITANNIA,2015q4,205.54,1980.86,312.87,1962.83,23.99,1032.69,1429.3,2461.99,313.17,574.17,1429.3,1202.45,0.3,17.13,5056.61,20196.5,48.66,0.0675
BRITANNIA,2016q1,196.72,1986.81,299.54,1968.59,23.99,1032.69,1429.3,2461.99,299.88,574.17,1429.3,1202.45,0.34,16.4,4680.58,19076.13333,43.29,0.065
BRITANNIA,2016q2,191.86,1960.39,277.33,1935.67,23.99,1649.87,1417.39,3067.26,277.64,713.89,1417.39,1342.7,0.31,15.99,4855.36,20622.6,43.29,0.0625
BRITANNIA,2016q3,210.39,1984.91,314.08,1949.36,23.99,1649.87,1417.39,3067.26,314.37,713.89,1417.39,1342.7,0.29,17.53,5229.12,22126.73333,43.29,0.065
BRITANNIA,2016q4,227.57,2222.39,339.76,2200.87,23.99,1649.87,1417.39,3067.26,340.1,713.89,1417.39,1342.7,0.34,18.97,5298.65,20907.98333,43.29,0.0625
BRITANNIA,2017q1,210.76,2115.96,307.57,2092.57,23.99,1649.87,1417.39,3067.26,307.93,713.89,1417.39,1342.7,0.36,17.56,5783.99,22571.05,50.8,0.06
BRITANNIA,2017q2,196.73,2089.34,291.51,2067.01,23.99,1691.26,2004.88,3696.14,291.86,869.09,2004.88,1089.42,0.35,16.39,6128.85,25423.08333,50.8,0.06
BRITANNIA,2017q3,208.69,2119.3,318.69,2077.15,23.99,1691.26,2004.88,3696.14,319.01,869.09,2004.88,1089.42,0.32,17.39,6424.25,25353.35,50.8,0.06
BRITANNIA,2017q4,245.34,2385.38,373.75,2373.42,23.99,1691.26,2004.88,3696.14,374.19,869.09,2004.88,1089.42,0.44,20.43,6835.01,26119.75,50.8,0.06
BRITANNIA,2018q1,249.17,2411,379.49,2398.32,23.99,1691.26,2004.88,3696.14,379.87,869.09,2004.88,1089.42,0.38,20.75,7249.31,26589.46667,65.23,0.06
BRITANNIA,2018q2,244.69,2388.38,373.26,2357.04,23.99,1859.78,2767.52,4627.3,373.57,1231.55,2767.52,1366.03,0.31,20.38,7339.56,28851.01667,65.23,0.06
BRITANNIA,2018q3,246.24,2406.69,375.42,2386.89,23.99,1859.78,2767.52,4627.3,375.89,1231.55,2767.52,1366.03,0.47,20.51,7942.56,31225.5,65.23,0.0625
BRITANNIA,2018q4,283.57,2704.62,432.34,2685.94,23.99,1859.78,2767.52,4627.3,432.7,1231.55,2767.52,1366.03,0.36,23.61,7090.57,29730,65.23,0.065
EMAMILTD,2014q1,141.09,550.02,171.3,550.02,22.7,456.44,695.54,1151.98,172.27,418.6,695.54,318.16,0.97,6.22,4203.66,17264.05,93.17,0.08
EMAMILTD,2014q2,115.19,410.17,111.24,410.17,22.7,429.28,831.18,1260.46,116.79,382.09,831.18,283.67,1.27,5.08,4255.12,17612.95,93.17,0.08
EMAMILTD,2014q3,65.76,442.04,86.55,442.04,22.7,429.28,831.18,1260.46,87.3,382.09,831.18,283.67,0.75,2.9,4481.14,19321.13333,93.17,0.08
EMAMILTD,2014q4,89.12,444.1,112.7,444.1,22.7,429.28,831.18,1260.46,113.97,382.09,831.18,283.67,1.27,3.93,4719.47,19849.18333,93.17,0.08
EMAMILTD,2015q1,162.41,626.76,209.44,626.76,22.7,429.28,831.18,1260.46,211.4,382.09,831.18,283.67,1.96,7.16,4833.22,20715.9,48.66,0.0775
EMAMILTD,2015q2,132.34,495.74,146.29,495.74,22.7,496.89,1058.98,1555.87,147.21,448.92,1058.98,291.68,0.92,5.83,4999.44,19924.58333,48.66,0.075
EMAMILTD,2015q3,85.12,494.32,88.28,493.76,22.7,496.89,1058.98,1555.87,92.61,448.92,1058.98,291.68,4.33,3.75,4841.65,20329.53333,48.66,0.0725
EMAMILTD,2015q4,45.84,480.57,58.36,479.47,22.7,496.89,1058.98,1555.87,77.44,448.92,1058.98,291.68,19.08,2.02,5056.61,20196.5,48.66,0.0675
EMAMILTD,2016q1,131.15,674.56,161.56,673.5,22.7,496.89,1058.98,1555.87,178.66,448.92,1058.98,291.68,17.1,5.78,4680.58,19076.13333,43.29,0.065
EMAMILTD,2016q2,70.04,539.11,79.2,537.32,22.7,2119.39,383.68,2503.07,92.44,2002.18,383.68,809.41,13.24,3.09,4855.36,20622.6,43.29,0.0625
EMAMILTD,2016q3,49.17,593.37,59.23,592.37,22.7,2119.39,383.68,2503.07,71.69,2002.18,383.68,809.41,12.46,2.17,5229.12,22126.73333,43.29,0.065
EMAMILTD,2016q4,88.48,537.37,108.78,536.4,22.7,2119.39,383.68,2503.07,124.7,2002.18,383.68,809.41,15.92,3.9,5298.65,20907.98333,43.29,0.0625
EMAMILTD,2017q1,140.07,682.33,174.18,681.55,22.7,2119.39,383.68,2503.07,186.78,2002.18,383.68,809.41,12.6,6.17,5783.99,22571.05,50.8,0.06
